Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
10-03-2024,28.1,81,50,0,2,C 
11-03-2024,28.2,85,6.5,2,2,C 
12-03-2024,27.5,87,70.1,1.4,3,W 
13-03-2024,26.3,93,57.5,0,3,W 
14-03-2024,26.6,90,203.2,0,2,W 
15-03-2024,28.5,80,37.2,0.7,3,W 
16-03-2024,28.6,82,8888,4.8,4,W 
17-03-2024,28.4,83,11,5.5,2,C 
18-03-2024,28.9,80,10.7,3.6,2,W 
19-03-2024,29.4,79,0,2.7,2,C 
20-03-2024,30.1,73,0,7.5,2,C 
21-03-2024,28.5,80,0,9.7,2,W 
22-03-2024,30.1,77,0,2.2,1,C 
23-03-2024,30.8,72,0,9.3,2,N 
24-03-2024,30.9,71,0,6.4,2,E 
25-03-2024,30.2,75,0.3,8.7,2,C 
26-03-2024,30.5,74,0.7,5.2,3,C 
27-03-2024,30.9,71,36.5,7.6,2,C 
28-03-2024,29.3,79,0,6.9,2,C 
29-03-2024,30.7,68,0,6.8,2,C 
30-03-2024,31,71,0,7.2,2,C 
31-03-2024,30.6,74,0.2,6.9,1,C 
01-04-2024,29,80,5,6.2,2,N 
02-04-2024,30.2,75,49,7,2,E 
03-04-2024,30.8,75,5.7,8,2,E 
04-04-2024,30.8,72,36.7,8.3,2,C 
05-04-2024,30.6,75,0,9.1,1,C 
06-04-2024,29.7,78,79.4,5.4,2,C 
07-04-2024,30.9,73,0,4.6,2,C 
08-04-2024,30.4,76,25.8,10.7,2,N 
09-04-2024,28.6,84,10,6.9,1,C 
10-04-2024,30.2,75,0,1.3,2,C 
11-04-2024,29.2,81,,7.7,2,C 
12-04-2024,30.3,72,29.9,4.8,3,E 
13-04-2024,30.6,76,0.3,8.3,2,C 
14-04-2024,30.4,72,0,8.7,2,C 
15-04-2024,30.6,75,0,8.4,2,C 
16-04-2024,31.8,70,7.8,7.2,2,E 
17-04-2024,30.6,71,6.6,10.1,3,E 
18-04-2024,29.2,76,2.8,8.2,2,NE
19-04-2024,30.1,73,16,6.4,3,E 
20-04-2024,31.8,67,8888,8,2,E 
21-04-2024,30.1,75,0,9.6,3,N 
22-04-2024,30.5,75,28.1,7.4,2,C 
23-04-2024,29.7,79,37.5,6,1,C 
24-04-2024,30.8,73,0,1.6,2,NW
25-04-2024,29.7,78,21,6.7,3,SE
26-04-2024,30.8,72,0.6,2.1,2,E 
27-04-2024,30.3,75,8888,7.8,2,C 
28-04-2024,31.6,69,1.9,6.4,3,E 
29-04-2024,32.1,70,0,7.3,2,E 
30-04-2024,31.8,69,0,10.3,3,E 
