Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
09-03-2024,26.9,87,59,4.6,5,W 
10-03-2024,28.4,86,28.5,0,1,C 
11-03-2024,28.8,86,0.3,1.3,1,C 
12-03-2024,27.1,92,8,2.1,2,NW
13-03-2024,28.9,83,26.5,0,4,E 
14-03-2024,29.2,81,6.2,1.9,3,NW
15-03-2024,27.3,89,0.9,3.4,3,W 
16-03-2024,28.5,84,26.9,0.4,3,SW
17-03-2024,28,86,26.9,3,3,S 
18-03-2024,27.7,87,2.6,2.9,3,SW
19-03-2024,28.8,85,7,1.9,3,SW
20-03-2024,29.2,83,1.5,8.1,3,W 
21-03-2024,29,84,0,9.3,2,W 
22-03-2024,29,82,,9.9,1,N 
23-03-2024,29.4,83,0,8.2,2,E 
24-03-2024,29,83,0,9.1,2,E 
25-03-2024,28.3,87,0,9.9,1,C 
26-03-2024,28.9,85,8888,1.4,1,E 
27-03-2024,28.9,83,1.5,5.1,1,C 
28-03-2024,27.8,87,0,9.1,2,N 
29-03-2024,29.4,82,9.3,6.1,1,E 
30-03-2024,29.6,84,,10.1,2,E 
31-03-2024,29.4,84,2,9.5,1,C 
01-04-2024,28.7,86,1.5,8.9,1,C 
02-04-2024,27.8,91,5.5,4.2,1,C 
03-04-2024,29.4,85,81.4,4.9,1,C 
04-04-2024,29.2,86,0,10.7,1,C 
05-04-2024,29.2,87,0,8.7,2,NW
06-04-2024,28.3,89,16.7,2.3,1,NW
07-04-2024,28.9,87,22.8,3.8,1,C 
08-04-2024,29.5,82,0.2,8.1,1,NW
09-04-2024,27.9,88,2.1,10.5,1,C 
10-04-2024,28.1,88,0.2,1.7,0,C 
11-04-2024,27.6,89,1.5,0.8,1,C 
12-04-2024,28.9,84,5.5,3.9,1,C 
13-04-2024,28.2,89,0,7.7,1,C 
14-04-2024,29.1,84,7.7,7.3,1,C 
15-04-2024,29.6,80,0,9.7,1,E 
16-04-2024,30,79,0,10.2,2,E 
17-04-2024,27.6,91,19,10.9,2,E 
18-04-2024,28.9,86,47.9,0,2,E 
19-04-2024,29.4,85,3.2,5.7,2,E 
20-04-2024,29.6,84,1.5,5.4,2,E 
21-04-2024,27.9,90,4.8,9.7,0,C 
22-04-2024,28.2,90,5.7,1.9,1,E 
23-04-2024,28.5,88,11.6,0.9,2,E 
24-04-2024,27.9,90,5.2,4,0,C 
25-04-2024,27.5,89,8888,0,1,C 
26-04-2024,29.8,84,5.2,4,3,SE
27-04-2024,29.5,85,0.6,8.1,2,E 
28-04-2024,30.3,82,7.1,0,3,SE
29-04-2024,30.2,80,2.4,9.1,3,SE
30-04-2024,29.7,82,1.7,8.7,3,E 
