Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
10-03-2024,28.7,78,8.9,0.5,3,NW
11-03-2024,29.1,80,8888,0.6,2,NW
12-03-2024,27.6,87,11.1,0.2,2,W 
13-03-2024,27.1,87,2.9,0,3,NW
14-03-2024,26.9,88,6.5,0,3,NW
15-03-2024,28.2,82,10.5,0.3,4,NW
16-03-2024,28.9,79,3,1.5,3,NW
17-03-2024,28.5,79,1.2,3.2,4,NW
18-03-2024,28.5,81,1.1,3.6,4,NW
19-03-2024,30.3,75,0,3.3,3,NW
20-03-2024,30.3,74,0,8.8,3,NW
21-03-2024,30.3,72,,8.5,2,NW
22-03-2024,30.5,74,0,7.8,2,SE
23-03-2024,30.5,73,8888,7.3,2,E 
24-03-2024,30.3,74,0,8,2,NE
25-03-2024,30,76,0,8.6,2,E 
26-03-2024,30.8,70,8888,5.8,3,SE
27-03-2024,31.4,64,0,7.7,2,N 
28-03-2024,29.9,73,0,8.8,2,NW
29-03-2024,30.6,74,,5.2,2,C 
30-03-2024,31.4,71,0.2,7.4,3,E 
31-03-2024,31,75,7.1,8.5,2,NW
01-04-2024,29.6,79,14.3,7.2,2,NW
02-04-2024,29.8,81,3.8,4.8,2,C 
03-04-2024,30.2,76,23.6,5,2,E 
04-04-2024,30.4,76,8888,7,2,NW
05-04-2024,30.6,76,28.6,7.3,2,NW
06-04-2024,30.7,75,23.1,5.2,2,NW
07-04-2024,29.8,80,0,6.8,2,N 
08-04-2024,28.7,85,27.2,3.2,1,C 
09-04-2024,29.2,81,13.4,0,1,C 
10-04-2024,29.4,82,0.8,1.8,2,S 
11-04-2024,28.7,83,8888,1.3,1,NE
12-04-2024,29.8,76,1,2,2,SE
13-04-2024,30.1,78,0,6.7,2,S 
14-04-2024,30.6,74,0,5,2,E 
15-04-2024,30.1,77,5.2,7.7,2,SE
16-04-2024,30.9,72,0,6.5,2,E 
17-04-2024,29.3,80,0.4,7.5,3,SE
18-04-2024,30,75,0,1.6,2,SE
19-04-2024,30.1,78,0.4,8.2,2,SE
20-04-2024,31,73,0,6.1,3,SE
21-04-2024,28.8,83,27.2,8.5,1,C 
22-04-2024,30.2,77,2,3.2,2,NW
23-04-2024,29.2,84,0,4.8,2,C 
24-04-2024,28.7,86,12.4,1.2,2,SE
25-04-2024,26.8,93,8888,0,2,S 
26-04-2024,29.8,80,10.3,0,2,SE
27-04-2024,30.9,75,0,6.3,4,SE
28-04-2024,31.1,73,0,8.4,3,SE
29-04-2024,30.6,75,8888,7.8,2,SE
30-04-2024,31,70,0,6.6,3,SE
