Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
11-03-2024,29.2,76,0,0,2,NW
12-03-2024,29.6,73,0,1.1,2,C 
13-03-2024,28.8,80,0.9,5.7,1,W 
14-03-2024,27.2,88,3.1,0.7,1,C 
15-03-2024,27.7,83,10,0,2,W 
16-03-2024,28.5,78,5.6,4.3,2,W 
17-03-2024,28.8,74,0,5.5,2,W 
18-03-2024,29,72,,5.1,2,W 
19-03-2024,28.9,74,0,7.2,2,W 
20-03-2024,29.1,76,0,10.3,2,W 
21-03-2024,29.4,77,0,10.5,2,C 
22-03-2024,28.7,82,3.5,8.1,2,SE
23-03-2024,28.8,82,61,7,2,SE
24-03-2024,29,81,1.1,7,1,SE
25-03-2024,28.7,82,3.2,7,1,C 
26-03-2024,28.2,83,8888,5.4,2,C 
27-03-2024,28.6,79,35.2,8.5,1,C 
28-03-2024,27.8,84,3.3,6.4,1,C 
29-03-2024,29.4,80,0.8,6.2,2,SE
30-03-2024,29.1,81,26,10,3,SE
31-03-2024,28.8,80,24,7.8,2,SE
01-04-2024,28.1,84,6.4,7.3,2,SE
02-04-2024,28.4,85,11.3,3.3,2,SE
03-04-2024,29.2,82,34.5,0.2,2,S 
04-04-2024,29.2,82,1.5,5.9,1,C 
05-04-2024,29.9,78,40,8.3,1,C 
06-04-2024,29.2,78,0.2,5.3,1,C 
07-04-2024,29.7,78,,7.7,1,C 
08-04-2024,29.6,80,0.2,4.1,1,SW
09-04-2024,26.5,92,67.5,6.3,0,C 
10-04-2024,27.9,85,7.9,0,2,C 
11-04-2024,28.7,84,32.3,6,2,C 
12-04-2024,29.2,83,0.8,7,2,NE
13-04-2024,28.8,81,6.5,7.3,2,SE
14-04-2024,27.6,87,46.1,6.7,1,C 
15-04-2024,29.2,80,0.5,3.5,2,SE
16-04-2024,29.6,81,13.3,,3,SE
17-04-2024,29.2,81,1.6,7.8,3,E 
18-04-2024,28.2,84,6.2,6.3,2,C 
19-04-2024,28.8,82,3.9,2.7,2,C 
20-04-2024,28.3,84,,8,1,SE
21-04-2024,28.3,84,0,7.2,2,SE
22-04-2024,29.2,83,8888,7.2,2,SE
23-04-2024,27.9,88,1.5,8.3,2,C 
24-04-2024,29,83,5,6.5,2,SE
25-04-2024,28.2,87,,5.5,1,SE
26-04-2024,27.6,86,0,3,1,C 
27-04-2024,28,87,11.2,5.2,1,C 
28-04-2024,29.1,84,5.8,8.4,2,SE
29-04-2024,29,82,0,8.2,3,SE
30-04-2024,28.6,82,0,10.6,3,SE
